"","ID","Magnitude","Magnitude Type"
"524","ISCGEM850905","5.8","MW"
"525","ISCGEM851021","5.8","MW"
"526","ISCGEM851097","6.2","MW"
"527","ISCGEM851175","5.8","MW"
"528","ISCGEM851232","5.6","MW"
"529","ISCGEM851301","6","MW"
"530","ISCGEM851328","5.6","MW"
"531","ISCGEMSUP851422","5.7","MW"
"532","ISCGEM849825","5.7","MW"
"533","ISCGEM849833","5.7","MW"
"534","ISCGEM849843","5.8","MW"
"535","ISCGEM849861","6.4","MW"
"536","ISCGEM849877","6.2","MW"
"537","ISCGEM849911","6.4","MW"
"538","ISCGEMSUP849913","5.9","MW"
"539","ISCGEM849961","6.5","MW"
"540","ISCGEM849991","6.5","MW"
"541","ISCGEM850033","6.3","MW"
"542","ISCGEM850037","5.8","MW"
"543","ISCGEM850066","5.8","MW"
"544","ISCGEM850077","6.5","MW"
"545","ISCGEM850145","6","MW"
"546","ISCGEM850150","5.9","MW"
"547","ISCGEM850227","6.6","MW"
"548","ISCGEM850269","6.6","MW"
"549","ISCGEM850271","5.7","MW"
"550","ISCGEM850284","5.9","MW"
"551","ISCGEM850356","6","MW"
"552","ISCGEM850367","5.6","MW"
"553","ISCGEM850390","6.9","MW"
"554","ISCGEM850482","6","MW"
"555","ISCGEM850487","5.6","MW"
"556","ISCGEM850544","5.6","MW"
"557","ISCGEM850553","6","MW"
"558","ISCGEM850562","5.7","MW"
"559","ISCGEM848903","5.8","MW"
"560","ISCGEM848946","5.9","MW"
"561","ISCGEM848978","6.7","MW"
"562","ISCGEM848981","6.3","MW"
"563","ISCGEM849021","6.5","MW"
"564","ISCGEM849028","6.2","MW"
"565","ISCGEM849033","6.2","MW"
"566","ISCGEM849034","5.6","MW"
"567","ISCGEMSUP849053","5.8","MW"
"568","ISCGEM849160","7.5","MW"
"569","ISCGEM849341","6.7","MW"
"570","ISCGEM849390","5.6","MW"
"571","ISCGEM849400","6.6","MW"
"572","ISCGEM849416","5.6","MW"
"573","ISCGEM849479","6.2","MW"
"574","ISCGEM849480","6.8","MW"
"575","ISCGEM849501","6.2","MW"
"576","ISCGEMSUP849541","5.9","MW"
"577","ISCGEM849601","6","MW"
"578","ISCGEM849603","5.9","MW"
"579","ISCGEM849641","5.7","MW"
"580","ISCGEM849682","6","MW"
"581","ISCGEM849686","6","MW"
"582","ISCGEM848041","5.7","MW"
"583","ISCGEM848084","5.8","MW"
"584","ISCGEM848136","6.3","MW"
"585","ISCGEM848162","5.6","MW"
"586","ISCGEM848174","5.7","MW"
"587","ISCGEM848199","6.2","MW"
"588","ISCGEM848237","5.8","MW"
"589","ISCGEM848256","5.7","MW"
"590","ISCGEM848290","6.1","MW"
"591","ISCGEM848314","5.7","MW"
"592","ISCGEM848349","6.3","MW"
"593","ISCGEM848355","5.9","MW"
"594","ISCGEM848441","6.2","MW"
"595","ISCGEM848572","6","MW"
"596","ISCGEM848573","6","MW"
"597","ISCGEM848596","6","MW"
"598","ISCGEM848601","5.9","MW"
"599","ISCGEM848610","5.9","MW"
"600","ISCGEM848633","5.8","MW"
"601","ISCGEM848634","6.5","MW"
"602","ISCGEM848649","6.1","MW"
"603","ISCGEM847068","6.4","MW"
"604","ISCGEM847081","6.1","MW"
"605","ISCGEM847094","5.6","MW"
"606","ISCGEM847191","6.2","MW"
"607","ISCGEM847303","6","MW"
"608","ISCGEM847380","6.2","MW"
"609","ISCGEM847381","5.6","MW"
"610","ISCGEM847389","5.8","MW"
"611","ISCGEM847467","5.7","MW"
"612","ISCGEM847497","6.1","MW"
"613","ISCGEM847502","5.7","MW"
"614","ISCGEM847531","5.6","MW"
"615","ISCGEM847550","5.9","MW"
"616","ISCGEM847580","6","MW"
"617","ISCGEM847619","6.1","MW"
"618","ISCGEM847637","5.5","MW"
"619","ISCGEM847725","5.7","MW"
"620","ISCGEM847731","5.7","MW"
"621","ISCGEM847783","5.7","MW"
"622","ISCGEM847787","5.7","MW"
"623","ISCGEM847789","6.1","MW"
"624","ISCGEM847878","5.8","MW"
"625","ISCGEM845999","5.8","MW"
"626","ISCGEM846023","5.5","MW"
"627","ISCGEM846032","5.8","MW"
"628","ISCGEM846123","6","MW"
"629","ISCGEM846173","5.6","MW"
"630","ISCGEM846184","6.6","MW"
"631","ISCGEM846202","6","MW"
"632","ISCGEM846209","6.2","MW"
"633","ISCGEM846229","5.6","MW"
"634","ISCGEM846232","6.8","MW"
"635","ISCGEM846291","5.7","MW"
"636","ISCGEM846361","5.6","MW"
"637","ISCGEM846407","6.1","MW"
"638","ISCGEM846422","6.7","MW"
"639","ISCGEM846454","7.1","MW"
"640","ISCGEMSUP846458","6.8","MW"
"641","ISCGEM846480","5.9","MW"
"642","ISCGEM846506","5.7","MW"
"643","ISCGEM846688","5.8","MW"
"644","ISCGEM846719","5.5","MW"
"645","ISCGEM846755","7","MW"
"646","ISCGEM846760","5.6","MW"
"647","ISCGEM846868","6","MW"
"648","ISCGEM846870","5.7","MW"
"649","ISCGEM846871","6.3","MW"
"650","ISCGEM846885","5.6","MW"
"651","ISCGEM847002","6","MW"
"652","ISCGEM845124","6.4","MW"
"653","ISCGEM845199","5.8","MW"
"654","ISCGEM845214","6.8","MW"
"655","ISCGEM845228","5.8","MW"
"656","ISCGEM845391","6.1","MW"
"657","ISCGEM845433","6","MW"
"658","ISCGEM845457","5.7","MW"
"659","ISCGEM845621","6.4","MW"
"660","ISCGEM845645","5.6","MW"
"661","ISCGEM845714","6.4","MW"
"662","ISCGEM845727","5.7","MW"
"663","ISCGEM845846","5.8","MW"
"664","ISCGEM844039","6","MW"
"665","ISCGEM844042","6.2","MW"
"666","ISCGEM844044","6.9","MW"
"667","ISCGEM844147","5.7","MW"
"668","ISCGEM844214","6.9","MW"
"669","ISCGEM844216","5.6","MW"
"670","CI3330114","6.35","ML"
"671","ISCGEM844250","6","MW"
"672","ISCGEM844300","6","MW"
"673","ISCGEM844371","5.9","MW"
"674","ISCGEM844397","5.8","MW"
"675","ISCGEM844491","5.6","MW"
"676","ISCGEM844493","6","MW"
"677","ISCGEM844503","6","MW"
"678","ISCGEM844522","5.8","MW"
"679","ISCGEM844550","5.7","MW"
"680","ISCGEM844553","6.2","MW"
"681","ISCGEM844607","5.7","MW"
"682","ISCGEM844608","5.6","MW"
"683","ISCGEM844633","5.8","MW"
"684","ISCGEM844645","6.1","MW"
"685","ISCGEM844646","6","MW"
"686","ISCGEM844692","6.8","MW"
"687","ISCGEM844729","5.7","MW"
"688","ISCGEM844732","5.8","MW"
"689","ISCGEM844740","6.2","MW"
"690","ISCGEM844758","6.1","MW"
"691","ISCGEM844769","6","MW"
"692","ISCGEM844815","5.9","MW"
"693","ISCGEM844816","6.3","MW"
"694","ISCGEM844855","5.7","MW"
"695","ISCGEM844923","5.8","MW"
"696","ISCGEM844936","6","MW"
"697","ISCGEM845004","5.7","MW"
"698","ISCGEM845076","5.6","MW"
"699","ISCGEMSUP843229","7.7","MW"
"700","ISCGEM843231","5.6","MW"
"701","ISCGEM843332","5.9","MW"
"702","ISCGEM843345","6.3","MW"
"703","ISCGEM843363","5.9","MW"
"704","ISCGEM843497","6.7","MW"
"705","ISCGEM843527","6.2","MW"
"706","ISCGEM843541","6.2","MW"
"707","ISCGEM843661","5.7","MW"
"708","ISCGEMSUP843852","6","MW"
"709","ISCGEM843878","5.9","MW"
"710","ISCGEM843964","6.3","MW"
"711","ISCGEM842266","6.9","MW"
"712","ISCGEMSUP842271","5.6","MW"
"713","ISCGEM842278","6.1","MW"
"714","ISCGEM842387","6.1","MW"
